age,salary,experience,city,purchased,missing_feature
45,92862,29,City_C,0,
64,43833,14,City_C,1,45.0
63,59944,18,City_C,0,35.0
31,75013,13,City_C,1,27.0
48,111246,13,City_A,0,88.0
27,72909,14,City_C,0,20.0
69,52607,8,City_C,0,50.0
52,70202,20,City_A,0,71.0
33,57525,1,City_A,0,99.0
21,100597,12,City_C,1,48.0
66,48127,7,City_B,0,
68,66778,25,City_C,1,21.0
31,49408,22,City_C,0,93.0
59,108726,21,City_B,0,29.0
30,112828,26,City_C,1,25.0
31,103256,23,City_A,0,33.0
69,73045,2,City_B,0,98.0
50,59164,23,City_A,0,36.0
56,43471,24,City_B,1,49.0
41,119413,6,City_A,1,39.0
64,34758,14,City_B,1,
53,44597,26,City_A,0,58.0
29,104703,20,City_B,1,95.0
68,42118,21,City_B,0,63.0
30,49338,27,City_B,1,63.0
59,63690,22,City_B,0,55.0
23,65829,7,City_A,1,81.0
26,98632,20,City_B,1,11.0
34,119743,7,City_A,1,41.0
57,32098,26,City_A,1,14.0
57,39487,13,City_B,0,
51,32914,15,City_C,1,12.0
48,41277,11,City_B,1,46.0
58,64334,7,City_C,0,49.0
66,60294,10,City_C,0,93.0
43,40377,24,City_B,1,73.0
56,75137,22,City_A,1,99.0
67,55893,17,City_B,1,38.0
43,47134,10,City_B,1,53.0
69,77915,2,City_A,0,11.0
57,82274,6,City_B,1,
46,31549,16,City_C,1,81.0
65,114087,2,City_A,1,28.0
25,115691,9,City_C,0,50.0
52,61765,2,City_A,0,68.0
63,78689,27,City_C,0,29.0
43,60703,26,City_C,0,84.0
65,108721,6,City_C,0,72.0
59,95575,27,City_B,1,90.0
26,97294,6,City_A,0,44.0
62,85362,27,City_C,1,
55,93521,7,City_A,0,22.0
55,89410,25,City_C,1,28.0
44,81598,12,City_B,0,70.0
46,91024,2,City_A,1,81.0
51,91584,25,City_C,1,95.0
23,105239,25,City_B,1,2.0
29,61252,7,City_C,1,60.0
56,82547,25,City_C,0,56.0
31,34173,20,City_C,0,32.0
61,118808,28,City_C,1,
23,62825,9,City_B,1,63.0
54,111174,15,City_C,0,11.0
56,43536,26,City_C,0,39.0
25,56072,21,City_B,1,88.0
49,110375,18,City_A,1,98.0
46,97049,26,City_C,1,21.0
54,63594,28,City_B,0,34.0
54,110293,25,City_C,0,10.0
34,36296,10,City_C,1,39.0
49,36878,26,City_C,0,
69,35864,11,City_A,0,56.0
65,32474,28,City_A,0,75.0
37,60269,26,City_A,0,33.0
29,38591,4,City_B,0,59.0
32,39508,17,City_A,1,40.0
45,38223,23,City_B,0,75.0
27,110236,3,City_C,1,17.0
31,93605,13,City_B,1,66.0
43,35776,12,City_B,1,33.0
60,115297,5,City_C,1,
20,57067,6,City_A,0,63.0
24,36247,23,City_B,1,36.0
31,56430,25,City_B,1,27.0
23,118354,23,City_C,1,76.0
63,45497,8,City_A,1,6.0
60,31887,24,City_C,1,77.0
30,50699,28,City_C,0,63.0
66,59767,13,City_B,1,73.0
43,53747,19,City_A,0,70.0
46,95035,14,City_B,0,
55,96941,16,City_B,1,53.0
46,115635,20,City_C,0,88.0
55,80445,24,City_C,1,12.0
19,40986,9,City_B,1,3.0
23,57976,0,City_B,0,84.0
38,89077,27,City_C,0,59.0
33,88428,16,City_C,1,10.0
58,47368,11,City_C,1,68.0
47,80685,9,City_A,1,72.0
28,96601,9,City_B,1,
42,40960,18,City_C,1,98.0
64,73043,13,City_A,0,66.0
69,78402,5,City_B,1,22.0
50,109056,6,City_B,1,35.0
19,92838,23,City_B,0,72.0
21,116011,4,City_A,0,20.0
22,95304,25,City_B,1,63.0
28,100963,22,City_A,0,29.0
22,59534,24,City_C,1,30.0
58,60836,24,City_A,1,
19,101739,6,City_B,0,48.0
38,60411,7,City_A,0,48.0
37,86798,9,City_C,1,59.0
25,91397,0,City_C,1,35.0
24,47986,6,City_C,1,67.0
45,50323,18,City_A,0,3.0
61,113826,20,City_A,0,27.0
18,104078,24,City_A,1,89.0
34,72645,4,City_A,1,37.0
65,117335,19,City_A,1,
34,70689,1,City_B,0,90.0
46,56296,10,City_C,1,81.0
48,42459,21,City_B,1,78.0
55,107374,8,City_C,0,29.0
52,45044,10,City_A,0,45.0
55,110594,1,City_C,0,92.0
19,44061,8,City_C,1,12.0
50,114465,20,City_B,1,44.0
41,101727,24,City_A,1,30.0
40,77912,12,City_B,1,
19,68892,12,City_C,1,61.0
28,96668,10,City_A,0,78.0
37,54862,8,City_A,1,35.0
52,107960,19,City_A,0,9.0
27,107171,6,City_A,1,23.0
28,68279,11,City_B,0,90.0
51,54224,0,City_C,0,29.0
26,108703,24,City_A,1,57.0
55,34366,24,City_B,0,11.0
24,119126,29,City_B,0,
42,59067,15,City_A,1,75.0
23,38094,22,City_A,1,29.0
25,78551,3,City_A,1,15.0
46,71589,14,City_C,1,49.0
30,83318,18,City_B,0,7.0
41,67007,24,City_A,0,70.0
54,72843,26,City_B,0,41.0
34,111486,21,City_C,0,78.0
60,58646,13,City_A,0,46.0
31,43202,24,City_C,0,
46,56432,29,City_B,1,80.0
47,106893,19,City_C,0,98.0
40,32374,3,City_A,1,60.0
36,71923,6,City_A,0,73.0
61,30959,19,City_A,0,51.0
65,67149,9,City_C,1,39.0
66,37213,5,City_A,0,6.0
19,99398,29,City_C,0,97.0
33,119505,19,City_C,0,80.0
23,83443,2,City_C,0,
18,107547,23,City_B,0,73.0
24,113613,2,City_B,0,97.0
18,85448,22,City_A,0,25.0
63,101114,3,City_C,1,89.0
49,65744,17,City_A,0,91.0
46,106682,8,City_A,0,7.0
51,51333,24,City_B,0,5.0
56,109041,14,City_B,0,43.0
38,30580,10,City_B,1,52.0
40,56043,3,City_B,1,
19,118676,10,City_C,1,98.0
30,79301,0,City_C,1,8.0
64,62991,12,City_A,1,68.0
25,110755,13,City_A,0,25.0
51,79339,0,City_B,0,62.0
25,85234,0,City_C,0,93.0
53,35740,0,City_C,0,28.0
52,114228,11,City_A,0,51.0
62,116490,6,City_C,0,61.0
25,119277,6,City_B,1,
23,61056,0,City_A,1,60.0
18,93845,21,City_C,1,79.0
54,55864,3,City_A,0,11.0
40,44312,7,City_B,0,32.0
41,72906,5,City_A,1,55.0
44,55216,7,City_A,0,30.0
23,85125,24,City_A,1,27.0
59,95828,22,City_A,1,11.0
36,70758,23,City_B,1,57.0
35,81279,16,City_A,1,
44,87874,11,City_A,1,40.0
60,97012,29,City_C,1,16.0
42,88068,22,City_A,1,64.0
33,65128,15,City_A,0,95.0
62,111785,16,City_C,0,2.0
37,76847,15,City_C,0,66.0
46,79816,29,City_B,0,59.0
50,66609,17,City_A,0,63.0
27,35451,3,City_A,0,66.0
